State,District,Market,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Recommendable Price
Gujarat,Banaskanth,Palanpur,Mustard,Mustard,FAQ,52,54.7,53.35,78
Gujarat,Banaskanth,Palanpur,Rajgir,Other,FAQ,54.25,66.75,60.5,81.375
Gujarat,Banaskanth,Thara(Shihori),Castor Seed,Caster,FAQ,62.5,63,62.75,93.75
Gujarat,Banaskanth,Thara(Shihori),Cummin Seed(Jeera),Bold,FAQ,165,170.75,167.875,247.5
Gujarat,Banaskanth,Vadgam,Mustard,Other,FAQ,48.5,48.55,48.55,72.75
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,FAQ,8,15,12,12
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,FAQ,20,40,30,30
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,4,10,6,6
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,62,70,64,93
Gujarat,Bharuch,Jambusar,Maize,Other,FAQ,20,22,21,30
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,20,26,23,30
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,34,38,36,51
Gujarat,Bharuch,Valia,Arhar (Tur/Red Gram)(Whole),777 New Ind,FAQ,69.5,78.85,75,104.25
Gujarat,Bhavnagar,Mahuva(Station Road),Arhar (Tur/Red Gram)(Whole),Local,FAQ,63.4,75,69.2,95.1
Gujarat,Bhavnagar,Mahuva(Station Road),Castor Seed,Castor seed,FAQ,57.55,57.55,57.55,86.325
Gujarat,Bhavnagar,Mahuva(Station Road),Jowar(Sorghum),Other,FAQ,25.25,50.45,37.85,37.875
Gujarat,Bhavnagar,Mahuva(Station Road),Wheat,Kalyan,FAQ,28,35.45,31.75,42
Gujarat,Bhavnagar,Taleja,Groundnut,Bold,FAQ,54.35,60.55,57.45,81.525
Gujarat,Bhavnagar,Taleja,Onion,Red,FAQ,14,24.65,19.35,21
Gujarat,Bhavnagar,Taleja,Wheat,Kalyan,FAQ,25.65,33.5,29.6,38.475
Gujarat,Botad,Botad,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,50,78,62.5,75
Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,FAQ,72.5,74.71,73.25,108.75
Gujarat,Dahod,Dahod,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,55,65,62,82.5
Gujarat,Dahod,Dahod,Maize,White (SAFED),FAQ,22.75,35.54,28,34.125
Gujarat,Dahod,Dahod,Maize,Yellow,FAQ,23,24,23.5,34.5
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,33,33.5,33.25,49.5
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,12,18,16,18
Gujarat,Dahod,Dahod(Veg. Market),Drumstick,Other,FAQ,30,50,40,45
Gujarat,Dahod,Dahod(Veg. Market),Yam (Ratalu),Other,FAQ,40,50,45,60
Gujarat,Dahod,Zalod(Sanjeli),Paddy(Dhan)(Common),Other,Non-FAQ,24.5,25,25,36.75
Gujarat,Devbhumi Dwarka,Bhanvad,Groundnut,G20,Non-FAQ,45,52,50,67.5
Gujarat,Devbhumi Dwarka,Bhanvad,Soyabean,Soyabeen,Non-FAQ,35,42,40,52.5
Gujarat,Gandhinagar,Kalol,Mustard,Other,FAQ,40,46.2,43,60
Gujarat,Gandhinagar,Kalol,Paddy(Dhan)(Common),Other,FAQ,19,22.5,20.75,28.5
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Cabbage,Cabbage,FAQ,3,5.5,4,4.5
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Onion Green,Other,FAQ,7.5,16,12.5,11.25
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)",Tomato,Other,FAQ,3,7.5,5,4.5
Gujarat,Gir Somnath,Veraval,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Non-FAQ,62.55,69.75,67.8,93.825
Gujarat,Gir Somnath,Veraval,Millets,Millets,FAQ,23.75,31.9,30.25,35.625
Gujarat,Gir Somnath,Veraval,Soyabean,Other,FAQ,40.05,40.65,40.25,60.075
Gujarat,Junagarh,Visavadar,Corriander seed,Other,FAQ,50,68.8,59.4,75
Gujarat,Junagarh,Visavadar,Groundnut,Other,FAQ,47.15,57.05,52.1,70.725
Gujarat,Junagarh,Visavadar,Kulthi(Horse Gram),Other,FAQ,46.75,56.05,51.4,70.125
Gujarat,Kachchh,Rapar,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,26.8,0,26.8,40.2
Gujarat,Kheda,Kapadvanj,Potato,Other,FAQ,8,11,9.5,12
Gujarat,Kheda,Kapadvanj,Tomato,Other,FAQ,2,3,2.5,3
Gujarat,Kheda,Nadiyad(Piplag),Potato,Potato,Non-FAQ,8,9.5,9,12
Gujarat,Mehsana,Kadi,Moath Dal,Moath (W),FAQ,62.55,75,72,93.825
Gujarat,Mehsana,Mehsana(Jornang),Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,22,24.5,24,33
Gujarat,Mehsana,Mehsana(Mehsana Veg),Potato,Potato,Non-FAQ,2.5,15,11,3.75
Gujarat,Mehsana,Unava,Castor Seed,Castor seed,FAQ,63.7,64.35,64.2,95.55
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,80,107,101,120
Gujarat,Morbi,Morbi,Bitter gourd,Other,FAQ,30,35,32.5,45
Gujarat,Morbi,Morbi,Cotton,Local,FAQ,62.5,73.6,68.05,93.75
Gujarat,Morbi,Morbi,Cucumbar(Kheera),Cucumbar,FAQ,20,30,25,30
Gujarat,Morbi,Morbi,Green Chilli,Green Chilly,FAQ,15,25,20,22.5
Gujarat,Morbi,Morbi,Tomato,Tomato,FAQ,5,10,7.5,7.5
Gujarat,Morbi,Vankaner,Corriander seed,Other,FAQ,46.1,70,62.5,69.15
Gujarat,Morbi,Vankaner,Jowar(Sorghum),Other,FAQ,43,48.5,46.5,64.5
Gujarat,Narmada,Rajpipla,Cotton,Cotton (Unginned),FAQ,68.45,76.21,72.51,102.675
Gujarat,Navsari,Bilimora,Bottle gourd,Other,FAQ,10,15,12,15
Gujarat,Navsari,Bilimora,Cauliflower,Other,FAQ,12.5,20,16,18.75
Gujarat,Navsari,Bilimora,Onion,Nasik,FAQ,15,30,22,22.5
Gujarat,Navsari,Bilimora,Tomato,Other,FAQ,10,12,11,15
Gujarat,Panchmahals,Gogamba,Maize,Deshi Red,FAQ,26.5,27.5,27,39.75
Gujarat,Patan,Radhanpur,Guar Seed(Cluster Beans Seed),Whole,FAQ,45,49.6,47.5,67.5
Gujarat,Patan,Siddhpur,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,28.4,31.2,29.8,42.6
Gujarat,Rajkot,Gondal(Veg.market Gondal),Guava,Guava,Medium,20,40,30,30
Gujarat,Rajkot,Gondal(Veg.market Gondal),Tomato,Tomato,FAQ,1,5,3,1.5
Gujarat,Rajkot,Jasdan,Cotton,Shanker 6 (B) 30mm FIne,FAQ,65,73,70.75,97.5
Gujarat,Rajkot,Jasdan,Jowar(Sorghum),Jowar ( White),FAQ,20,42.5,35,30
Gujarat,Rajkot,Rajkot,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,48.5,58.75,56.75,72.75
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),Desi,Non-FAQ,35,62.5,51.5,52.5
Gujarat,Rajkot,Rajkot,Groundnut,Bold,FAQ,46.25,55.15,52.5,69.375
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),Jowar ( White),FAQ,41,50,47,61.5
Gujarat,Rajkot,Rajkot,Mustard,Mustard,FAQ,49,54,52.5,73.5
Gujarat,Rajkot,Rajkot,Wheat,Sharbati,FAQ,30.1,34.05,32.2,45.15
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Brinjal,Brinjal,FAQ,15,25,20,22.5
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,24.5,26.24,25.5,36.75
Gujarat,Sabarkantha,Himatnagar,Castor Seed,Castor seed,FAQ,55.5,62.95,60,83.25
Gujarat,Sabarkantha,Himatnagar,Cotton,Cotton (Unginned),Non-FAQ,62.5,71.2,67,93.75
Gujarat,Sabarkantha,Modasa,Groundnut,Local,Non-FAQ,30.55,62.85,62.85,45.825
Gujarat,Sabarkantha,Modasa,Soyabean,Yellow,Non-FAQ,37.5,40.45,40.45,56.25
Gujarat,Sabarkantha,Talod,Mustard,Other,FAQ,40.05,44.8,42.43,60.075
Gujarat,Sabarkantha,Vadali,Castor Seed,Other,FAQ,60,61.35,60.67,90
Gujarat,Surat,Bardoli(Katod),Bhindi(Ladies Finger),Other,FAQ,10,19.5,15.5,15
Gujarat,Surat,Surat,Bhindi(Ladies Finger),Other,FAQ,30,50,40,45
Gujarat,Surat,Surat,Capsicum,Other,FAQ,8,16,12.5,12
Gujarat,Surat,Surat,Surat Beans (Papadi),Other,FAQ,30,80,55,45
Gujarat,Surat,Surat,Tomato,Other,FAQ,6,12,9,9
Gujarat,Surat,Surat,Turmeric (raw),Other,FAQ,25,100,62.5,37.5
Gujarat,Surendranagar,Chotila,Wheat,Local,FAQ,20,28.5,24.5,30
Gujarat,Surendranagar,Chotila,Wheat,Local,Non-FAQ,25,30,27.5,37.5
Gujarat,Surendranagar,Vadhvan,Banana - Green,Banana - Green,FAQ,20,30,25,30
Gujarat,Surendranagar,Vadhvan,Bhindi(Ladies Finger),Bhindi,FAQ,45,50,47.5,67.5
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,20,25,22.5,30
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,35,40,37.5,52.5
Gujarat,Surendranagar,Vadhvan,Peas Wet,Peas Wet,FAQ,25,30,27.5,37.5
Gujarat,Surendranagar,Vadhvan,Potato,Potato,FAQ,10,20,15,15
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,10,15,12.5,15
Gujarat,Valsad,Chikli(Khorgam),Bitter gourd,Other,FAQ,25,35,30,37.5
Haryana,Ambala,Ambala Cantt.,Bhindi(Ladies Finger),Bhindi,FAQ,40,50,45,60
Haryana,Ambala,Ambala Cantt.,Bitter gourd,Bitter Gourd,FAQ,25,30,28,37.5
Haryana,Ambala,Ambala Cantt.,Pomegranate,Pomogranate,Medium,45,80,65,67.5
Haryana,Ambala,Naraingarh,Cabbage,Other,FAQ,4,7,5,6
Haryana,Ambala,Naraingarh,Capsicum,Capsicum,FAQ,10,20,18,15
Haryana,Ambala,Naraingarh,Methi(Leaves),Methi,FAQ,5,10,7,7.5
Haryana,Ambala,Naraingarh,Mousambi(Sweet Lime),Mousambi,Medium,30,30,30,45
Haryana,Ambala,Naraingarh,Raddish,Raddish,FAQ,2,3,2.5,3
Haryana,Ambala,Shahzadpur,Carrot,Carrot,FAQ,5,5,5,7.5
Haryana,Ambala,Shahzadpur,Green Peas,Green Peas,FAQ,15,20,20,22.5
Haryana,Bhiwani,Ch. Dadri,Banana,Other,Large,15,40,27.5,22.5
Haryana,Bhiwani,Ch. Dadri,Guava,Guava,Large,20,40,30,30
Haryana,Fatehabad,Jakhal,Cabbage,Other,FAQ,3,4,4,4.5
Haryana,Gurgaon,Gurgaon,Banana,Banana,Medium,20,30,25,30
Haryana,Gurgaon,Pataudi,Apples,Other,Large,48,60,55,72
Haryana,Gurgaon,Sohna,Guavas,Cauliflower,FAQ,32,55,45,48
Haryana,Gurgaon,Sohna,Wheat,Cucumbar,FAQ,20,35,25,30
Haryana,Gurgaon,Sohna,Rice,Raddish,FAQ,25,38,30,37.5
Haryana,Gurgaon,Gurgaon,Onion,Other,Medium,25,35,29,37.5
Haryana,Gurgaon,Pataudi,Tomato,Other,Large,9,25,15,13.5
Haryana,Gurgaon,Sohna,Potato,Cauliflower,FAQ,10,25,15,15
Haryana,Gurgaon,Sohna,Bajra(Pearl Millet/Cumbu),Cucumbar,FAQ,22,30,25,33
Haryana,Gurgaon,Sohna,Raddish,Raddish,FAQ,10,11,11,15
Haryana,Hissar,Barwala(Hisar),Banana,Other,Medium,15,20,18,22.5
Haryana,Hissar,Barwala(Hisar),Carrot,Other,FAQ,6,7,7,9
Haryana,Hissar,Barwala(Hisar),Chikoos(Sapota),Other,Medium,35,40,38,52.5
Haryana,Hissar,Barwala(Hisar),Ginger(Green),Other,FAQ,45,50,48,67.5
Haryana,Hissar,Barwala(Hisar),Lemon,Other,FAQ,45,50,48,67.5
Haryana,Hissar,Barwala(Hisar),Mousambi(Sweet Lime),Other,Medium,35,40,38,52.5
Haryana,Hissar,Barwala(Hisar),Onion,Other,FAQ,20,22,21,30
Haryana,Hissar,Barwala(Hisar),Peas Wet,Other,FAQ,15,16,16,22.5
Haryana,Hissar,Barwala(Hisar),Pomegranate,Other,Medium,90,100,100,135
Haryana,Hissar,Barwala(Hisar),Raddish,Other,FAQ,6,7,7,9
Haryana,Hissar,Hansi,Cabbage,Other,FAQ,6,8,7,9
Haryana,Hissar,Hansi,Capsicum,Other,FAQ,30,35,33,45
Haryana,Hissar,Hansi,Cucumbar(Kheera),Other,FAQ,15,25,20,22.5
Haryana,Hissar,Hansi,Guava,Other,Medium,20,25,23,30
Haryana,Hissar,Hansi,Lemon,Other,FAQ,30,50,40,45
Haryana,Hissar,Hansi,Onion,Other,FAQ,15,30,20,22.5
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,15,25,20,22.5
Haryana,Hissar,Uklana,Potato,Potato,FAQ,7,8,8,10.5
Haryana,Jhajar,Bahadurgarh,Banana,Other,Medium,15,18,16,22.5
Haryana,Jhajar,Bahadurgarh,Ginger(Green),Other,FAQ,50,60,55,75
Haryana,Jhajar,Bahadurgarh,Onion,Other,FAQ,15,25,20,22.5
Haryana,Jhajar,Bahadurgarh,Pumpkin,Other,FAQ,10,12,11,15
Haryana,Jhajar,Jhajjar,Potato,Other,FAQ,8.5,9.5,9,12.75
Haryana,Jhajar,Jhajjar,Raddish,Other,FAQ,9,11,10,13.5
Haryana,Jind,Narwana,Apple,Other,Medium,100,120,110,150
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,25,25,25,37.5
Haryana,Jind,Narwana,Water Melon,Other,Medium,30,30,30,45
Haryana,Kaithal,Dhand,Onion,Other,FAQ,25,27,26.5,37.5
Haryana,Kaithal,Siwan,Carrot,Other,FAQ,5,6.5,6,7.5
Haryana,Kaithal,Siwan,Peas Wet,Other,FAQ,11,12.5,12,16.5
Haryana,Kaithal,Siwan,Raddish,Other,FAQ,3.5,4.1,4,5.25
Haryana,Karnal,Gharaunda,Apple,Other,Medium,100,105,105,150
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,25,25,25,37.5
Haryana,Karnal,Indri,Pomegranate,Other,Medium,100,100,100,150
Haryana,Karnal,Tarori,Banana,Other,Medium,18,22,20,27
Haryana,Kurukshetra,Ladwa,Apple,Apple,Medium,70,70,70,105
Haryana,Kurukshetra,Ladwa,Banana,Banana - Ripe,Medium,26,40,35,39
Haryana,Kurukshetra,Ladwa,Beetroot,Beetroot,FAQ,15,15,15,22.5
Haryana,Kurukshetra,Ladwa,Carrot,Carrot,FAQ,6,6,6,9
Haryana,Kurukshetra,Ladwa,Kinnow,Kinnow,Medium,20,30,25,30
Haryana,Kurukshetra,Ladwa,Onion,Onion,Non-FAQ,25,25,25,37.5
Haryana,Kurukshetra,Pehowa,Cabbage,Other,FAQ,6,6,6,9
Haryana,Kurukshetra,Thanesar,Bottle gourd,Bottle Gourd,FAQ,8,16,12,12
Haryana,Kurukshetra,Thanesar,Cabbage,Cabbage,FAQ,3,6,4,4.5
Haryana,Kurukshetra,Thanesar,Green Chilli,Green Chilly,FAQ,35,45,40,52.5
Haryana,Kurukshetra,Thanesar,Guava,Guava,Medium,15,30,24,22.5
Haryana,Kurukshetra,Thanesar,Methi(Leaves),Fenugreek-Organic,FAQ,8,10,9,12
Haryana,Kurukshetra,Thanesar,Onion,Onion,FAQ,15,28,22,22.5
Haryana,Kurukshetra,Thanesar,Papaya,Papaya,Medium,25,35,30,37.5
Haryana,Kurukshetra,Thanesar,Pumpkin,Pumpkin,FAQ,10,15,12,15
Haryana,Kurukshetra,Thanesar,Raddish,Raddish,FAQ,3,5,4,4.5
Haryana,Kurukshetra,Thanesar,Tomato,Tomato,FAQ,4,8,6,6
Haryana,Kurukshetra,Thanesar,Turnip,Turnip,FAQ,5,8,6,7.5
Haryana,Kurukshetra,Thanesar,Water Melon,Water Melon,Medium,15,25,20,22.5
Haryana,Mahendragarh-Narnaul,Narnaul,Cauliflower,Cauliflower,FAQ,8,10,10,12
Haryana,Mahendragarh-Narnaul,Narnaul,Onion,Onion,Non-FAQ,18,18,18,27
Haryana,Mahendragarh-Narnaul,Narnaul,Peas Wet,Peas Wet,FAQ,13,20,18,19.5
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,FAQ,12,12,12,18
Haryana,Mahendragarh-Narnaul,Narnaul,Water Melon,Water Melon,Medium,20,20,20,30
Haryana,Mewat,Punhana,Potato,Other,FAQ,8,8,8,12
Haryana,Mewat,Tauru,Cabbage,Other,FAQ,3,3,3,4.5
Haryana,Mewat,Tauru,Lemon,Other,FAQ,60,60,60,90
Haryana,Mewat,Tauru,Mousambi(Sweet Lime),Other,Medium,25,25,25,37.5
Haryana,Mewat,Tauru,Tomato,Deshi,FAQ,11,11,11,16.5
Haryana,Palwal,Hassanpur,Potato,Potato,Non-FAQ,8,8,8,12
Haryana,Panchkula,Raipur Rai,Cauliflower,Cauliflower,FAQ,5,6,5,7.5
Haryana,Panchkula,Raipur Rai,Cucumbar(Kheera),Other,FAQ,14,16,14,21
Haryana,Panchkula,Raipur Rai,Green Chilli,Other,FAQ,25,28,25,37.5
Haryana,Panchkula,Raipur Rai,Raddish,Other,FAQ,4,6,4,6
Haryana,Panipat,Panipat,Cucumbar(Kheera),Other,FAQ,10,14,12,15
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,10,10,10,15
Haryana,Panipat,Samalkha,Leafy Vegetable,Leafy Vegetables,FAQ,7,20,20,10.5
Haryana,Panipat,Samalkha,Tomato,Local,FAQ,8,10,9,12
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,10,10,10,15
Haryana,Rohtak,Meham,Apple,Apple,Medium,90,90,90,135
Haryana,Rohtak,Rohtak,Banana,Other,Large,20,20,20,30
Haryana,Rohtak,Rohtak,Guava,Other,Large,15,30,20,22.5
Haryana,Sirsa,kalanwali,Onion,Other,FAQ,25,25,25,37.5
Haryana,Sirsa,Sirsa,Cucumbar(Kheera),Other,FAQ,10,25,20,15
Haryana,Sonipat,Ganaur,Bhindi(Ladies Finger),Bhindi,FAQ,36,40,38,54
Haryana,Sonipat,Ganaur,Cauliflower,Other,FAQ,6,7,6,9
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,8,10,10,12
Haryana,Sonipat,Gohana,Apple,Apple,Large,70,90,80,105
Haryana,Sonipat,Gohana,Green Chilli,Other,FAQ,30,50,40,45
Haryana,Sonipat,Sonepat,Brinjal,Other,FAQ,15,20,15,22.5
Haryana,Sonipat,Sonepat,Cauliflower,Other,FAQ,8,9,8,12
Haryana,Sonipat,Sonepat,Kinnow,Other,Medium,35,36,35,52.5
Haryana,Yamuna Nagar,Chhachrauli,Carrot,Carrot,FAQ,5,7,5,7.5
Haryana,Yamuna Nagar,Chhachrauli,Methi(Leaves),Other,FAQ,7,8,8,10.5
Haryana,Yamuna Nagar,Chhachrauli,Peas Wet,Peas Wet,FAQ,16,18,16,24
Haryana,Yamuna Nagar,Chhachrauli,Tomato,Tomato,FAQ,9,16,9,13.5
Haryana,Yamuna Nagar,Radaur,Apple,Other,Medium,62,65,64,93
Haryana,Yamuna Nagar,Radaur,Cauliflower,Other,FAQ,1.5,2.5,2,2.25
Haryana,Yamuna Nagar,Radaur,Ginger(Green),Other,FAQ,25,30,28,37.5
Haryana,Yamuna Nagar,Radaur,Onion,Other,FAQ,22,25,24,33
Haryana,Yamuna Nagar,Radaur,Spinach,Other,FAQ,7,9,8,10.5
Himachal Pradesh,Chamba,Chamba,Ber(Zizyphus/Borehannu),Other,Medium,38,40,39,57
Himachal Pradesh,Chamba,Chamba,Cabbage,Other,FAQ,10,15,12.5,15
Himachal Pradesh,Chamba,Chamba,Carrot,Other,FAQ,18,20,19,27
Himachal Pradesh,Chamba,Chamba,French Beans (Frasbean),Other,FAQ,35,40,37.5,52.5
